Account,Display Name,Example Series Names,Pattern Types Matched,Occurrences,Distinct Posts
djtragedy,Tragedy Getintuned,WEEKLY BRUNCH SERIES; R&B BINGO; OUT & VIBE WEDNESDAYS; CASSETTE CULTURE: THROWBACKS TUESDAYS; CASSETTE CULTURE,"day-of-week plural, recurrence keyword, repeated branded name",1323,77
djtyc501,Ty Chappell,KARAOKE WEDNESDAY; HAPPY HOUR; KARAOKE THURSDAYS; KARAOKE; WEEKLY KARAOKE,"day-of-week plural, recurrence keyword, repeated branded name",1289,82
theashfordjc,The Ashford | Restaurant Lounge & Rooftop,ST. PATRICK'S DAY CELEBRATION; HAPPY HOUR; LOBSTER THURSDAYS; AFTER WORK PARTY; LOBSTER DINNER THURSDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1280,89
southjerseyfoodscene,South Jersey Food Scene,SNOW CRAB FRIDAYS; SURF AND TURF SATURDAYS; WATER ICE FACTORY OPENING FOR SEASON; Greens and Grains Grand Opening; Grand Opening Day,"day-of-week plural, recurrence keyword, repeated branded name",1279,55
thenewarkstandard,The Newark Standard,STANDARD AFFAIR; SOUNDGARDEN SATURDAYS; LIVE MUSIC FRIDAYS; DJ SATURDAYS; LIVE MUSIC NIGHTS,"day-of-week plural, recurrence keyword, repeated branded name",1274,70
thepatioonsussex,The Patio On Sussex,TACO TUESDAY; TACO TUESDAYS; SIP & PAINT EVENING; GIRL DINNER WEDNESDAYS; R&B THURSDAYS,"day-of-week plural, repeated branded name",1273,60
bacchanalnj,Bacchanal Junction,TACO + TEQUILA TUESDAYS; ALL DAY HAPPY HOUR; LADIES NIGHT; FETE-ISH FRIDAYS W/ LIVE DJ; BACCHANAL SATURDAYS!,"day-of-week plural, repeated branded name",1266,50
nhvsnh_youth_league,Coach Mike 8629558318,NHvsNH Youth Winter Basketball Season; 8U Division Biddy Ball - L.A.B(NJ) vs HORNETS (NJ); 8U Division Biddy Ball - NHVSNH (NJ) vs JFK REC (NJ); 8U Division Biddy Ball - NEWARK RAMS (NJ); NHVSNH Winter Youth League 14 & Under Schedule,"recurrence keyword, repeated branded name",1260,8
oulacarteret,OU LA - Restaurant & Bar,80'S POP THURSDAYS; Sunday Brunch; Happy Hour and Dinner; Happy Hour; Happy Hour Cocktails,"day-of-week plural, recurrence keyword, repeated branded name",1247,36
bbpskating,BBP Roller Skating Center,80s Themed Roller Skating Event; Mini Glow Party Package; Skate Week; Thanksgiving Break Kick-Off; Thanksgiving with Stitch,repeated branded name,1213,53
newarknjblog,"The City of Newark, NJ",Brick City Run Club Turkey Trot 2025; Newark Winter Village; Nasto’s Ice Cream Grand Opening; Nasto's Ice Cream Open Hours; Nasto’s Ice Cream Now Open - Monday,repeated branded name,1176,34
lscafterdark,LSC After Dark,LSCAFTERDARK: UNDER THE SEA; LSC After Dark: Wise Guys and Mob Wives; Space Talk: The Universe as Seen Through the Vera Rubin Observatory; LSC After Dark: 90s Night; LSCAfterDark: Wise Guys and Mob Wives,repeated branded name,1173,76
thefactorynj,The Factory Restaurant & Lounge,SÁBADO DE PROBLEMA; DJ JOE EL CATADOR LIVE; Party; tonight; Live DJ,repeated branded name,1161,63
coopersnj,Cooper's Riverview,DISCO HUSTLE NIGHT; HAPPY HOUR; DISCO HUSTLE PARTY; SUNDAY BUBBLY BRUNCH; COOPER'S GLOW NIGHTLIFE!,"recurrence keyword, repeated branded name",1161,96
goodvibesfords,The Healthy Hub🇵🇭🇯🇲🇨🇴,WEEKLY COMMUNITY EVENTS; 5 DAY EAT CLEAN CHALLENGE; MOMMY & ME MUSIC CLASS; FIT CAMP WORKOUT; BRUNCH KARAOKE,"recurrence keyword, repeated branded name",1159,37
newarklibrary,Newark Public Library,TABLET TRAINING FOR SENIORS SERIES; Mat Yoga; Chair Yoga Class; Checkmate Moves for Business Startups: Tactical Advantages from the Gameboard to Life; LGBTQ+ Resource Center Book Discussion,"day-of-week plural, recurrence keyword, repeated branded name",1158,55
experiencemontclair,Experience Montclair,Deck the Halls; Events in Montclair; Montclair Creative Reuse Project Stylish Pouches; Montclair Soap Naturally Crafted Soap Bars; Montclair Candle Co. Hand-Poured Candles,repeated branded name,1147,28
artsgarageac,Noyes Arts Garage,THE WOMEN’S ARMY CORPS DURING WWII LECTURE SERIES; SATARTDAYS SERIES; Noyes Holiday Market & Gingerbread Village; Santa; World Above Poetry Open Mic,"recurrence keyword, repeated branded name",1138,50
bgcmercer,Boys & Girls Clubs of Mercer,6TH ANNUAL GREAT FUTURES CELEBRATION; GREAT FUTURES CELEBRATION; SUMMER CAMP OPEN HOUSE; SUMMER CAMP 2026; Winter Holiday Camp,"recurrence keyword, repeated branded name",1134,64
metropolishoboken,Metropolis,BRUNCH; ROOFTOP SEASON OPENING; TINI TUESDAYS - $10 MARTINIS; SUNDAY BRUNCH; FRIDAY NIGHTS AT METROPOLIS,"day-of-week plural, recurrence keyword, repeated branded name",1127,62
bgwc__,Black Girl Walking Club | (BGWC),"""THE BLOOM BAR"": FLOWER BOUQUET CLASS; PAJAMA NIGHT; SOFT LIFE SATURDAY WALK; Black Girl Walking Club Walk; Mix & Mingle","recurrence keyword, repeated branded name",1124,42
njsoup153,NJ SOUP,FASTLIFE FIRST FRIDAYS; 7TH ANNUAL NOTORIOUS B.I.G TRIBUTE; GIRL DINNER THURSDAYS; ALL WHITE AFFAIR; RNB BREAKFAST,"day-of-week plural, repeated branded name",1111,96
jenksclub,Jenks Club,COUNTRY WEDNESDAYS; Jingle Bash; Jenksgiving; Jenksgiving Eve; Jenksgiving EVE,"day-of-week plural, repeated branded name",1106,25
greaternewarknj,Greater Newark Conservancy,PLOT-IT-FRESH WINTER SEASONINGS SERIES 2026: GROWING FROM SEED: START STRONG AT HOME & IN THE GARDEN; GREATER NEWARK CONSERVANCY SPRING GALA; FRESH FRIDAYS MARKET; Central Ward Food Hub - Distribution; Farm to School Fall Festivals,"day-of-week plural, recurrence keyword, repeated branded name",1105,58
ahsnewark,Associated Humane Soc.-Newark,"Meet Luna at AHS Newark; Meet Theo (Adoption); Meet Hollow - Adoption Opportunity; Professional Training for Hollow (Ongoing); Meet Bam at AHS Newark, NJ Animal Shelter",repeated branded name,1103,82
lotusrooftopnj,Lotus 🪷,TETO THURSDAYS; BLACKOUT SATURDAYS PRESENTS: LADIES NIGHT OUT; TETEO THURSDAYS; ARIES SEASON TAKEOVER; BLACKOUT SATURDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1100,85
gothamfc,Gotham FC,2025 UEFA Women’s Euro Championship; 2025 NWSL Title; Happy Birthday AK Lakhani; Gotham FC wins 2025 NWSL Title; Spain wins 2025 UEFA Women's Nations League,"recurrence keyword, repeated branded name",1082,67
thebotanic.nj,The Botanic,"Christmas Tree Pop-Up; Recovery Nook for Massage Therapy event with The Botanic photo booth; RWJ Fitness Recovery Nook Grand Opening; Sweater, Sips & Spreads; Recovery Nook Grand Opening Celebration!",repeated branded name,1081,26
rnbonly,R&B ONLY®,"R&B ONLY LIVE SHOW; R&B ONLY LIVE; OFFICE HOURS SET; DRUSKI'S ""COULDA BEEN LOVE"" SEASON 2 PREMIERE; LUTHER VANDROSS EDITION OF OFFICE HOURS DJ MIX SERIES","recurrence keyword, repeated branded name",1047,61
movenjgrooveofficial,Move N’ Groove,MOVE N' GROOVE WEEKLY SESSION; MOVE N' GROOVE WEDNESDAYS; MOVE N' GROOVE WEEKLY EVENT; MOVE N’ GROOVE WEEKLY SESSION; WEEKLY EVENT,"day-of-week plural, recurrence keyword, repeated branded name",1036,51
palladiumlatininstitute,Palladium Latin Institute,SALSA CLASSES; CLASES DE SALSA GRUPALES; SALSA SUNDAYS; SALSA CLASSES - OPEN LEVEL; SALSA CLASSES - ADVANCED BEGINNER,"day-of-week plural, repeated branded name",1031,47
libertysciencecenter,Liberty Science Center,EXTREME MACHINES; Sock Skating; Partners in Science Program; Pathways to Partners in Science; See the degu pups with Mom on exhibit,repeated branded name,1017,79
house157_,House 157 Restaurant & Bar,DJ THURSDAYS; FRIDAY NIGHTS; HAPPY HOUR; BLOOM & BRUNCH; WINE DOWN WEDNESDAYS,"day-of-week plural, recurrence keyword, repeated branded name",1014,65
newarkalliance60,Newark Alliance,Emergency Food Hub Operations Final Day; Thanksgiving Closure - South Ward Food Hub; Thanksgiving Closure - Central Ward Food Hub; Thanksgiving Closure - West Ward Food Hub; Thanksgiving Closure - East Ward Food Hub,repeated branded name,1006,13
shlrzy09,Trish,Nork! Photo Fest,repeated branded name,1000,3
portamontclair,Porta Montclair,Seasonal Favorites; Sinatra Night; Pizza and a Porta Tree; NYE Dinner & Dance Party; Holiday Drag Brunch,repeated branded name,991,18
concourseclub,Concourse Club,GREG GROOVEZ; TONE SETTA; B.MILLS; KIZZY; SINGLES NIGHT,repeated branded name,981,38
1lifecollective,1lifecollective,Toy Drive; Claudette Colvin Rest in Power,repeated branded name,978,14
columnsnj,The Columns,PAT RODDY BAND; FORCE FED; HOWL; LOBSTERPALOOZA; JOE BARACATA,repeated branded name,973,13
fancyfeetlinedancing,Rachael Snyder,COASTAL COUNTRY NIGHTS & FANCY FEET LINE DANCING; AFTER THE REIGN; LINE DANCE LESSONS; COASTAL COUNTRY NIGHTS & FANCY FEET LINE DANCING AT BAR ANTICIPATION; COASTAL COUNTRY NIGHTS & FANCY FEET LINE DANCING AT THE OCEAN VIEW RESTAURANT,"day-of-week plural, recurrence keyword, repeated branded name",969,52
eightysixdthemagazine,Eighty Six’d,Double Arcobaleno Release; Food Donation to Human Needs Food Pantry; Small Business Saturday Feature; Breakfast & Lunch; Dungeons & Dragons nights,"recurrence keyword, repeated branded name",964,24
littletijuanaevents,Little Tijuana Events,SUNDAY BRUNCH & DAY PARTY; FIESTA FRIDAY; Saturday Night LIVE! Dinner & Nightlife Experience; Little Tijuana Sunday Brunch & Day Party FRIENDSGIVING Brunch; Saturday Brunch & Beats,repeated branded name,963,56
eorunclub,NJ EO Walk/Run Club,SEASON 3 START; SEASON 3 | APRIL 4TH; SEASON 3 WEEKLY WALK/RUN; EO WALK/RUN CLUB SEASON 3; EO RUN CLUB SEASON 3 KICKOFF,"recurrence keyword, repeated branded name",953,39
dearshorthair,“Dear Short Hair”,The Fly Sweater Sis- Mas Shoppe & Brunch; Christmas Sismas Shoppe; Christmas Sismas Shoppe Brunch; Sis-Mas Shoppe & Brunch; Sismas Shoppe,repeated branded name,948,27
montclairbrew,Montclair Brewery,BLACK IS BEAUTIFUL IMPERIAL STOUT - BLACK HISTORY MONTH BEER SERIES; BLACK HISTORY MONTH BEER SERIES RELEASE: LUMUMBA; Friendsgiving Celebration; Friendsgiving; Holiday Pop-Up Market,"recurrence keyword, repeated branded name",938,23
iamyounghitta,Kyshawn Wyman,G Herbo + Friends Grand Opening Night; Thanksgiving Eve Turn-Up; G Herbo Live; DA BLACKOUT PARTY; Money & Love Release,"recurrence keyword, repeated branded name",934,46
jazz_house_kids,JAZZ HOUSE KiDS,JAZZ ICONS: BILL CHARLAP & RENEE ROSNES; Jazz at One; JAZZ HOUSE Fellows performance at the Tweed Courthouse as part of the New York City Department of Education Arts In Schools Report; Christian McBride with Kurt Rosenwinkel and Savannah Harris; Youth Solo Singers,"recurrence keyword, repeated branded name",927,61
hometownarcade_nj,Hometown Arcade NJ,SUPER SMASH BROS. 64 TOURNAMENT; NBA 2K TOURNAMENT; MARIO KART TOURNAMENT; Mario Kart Tournament; Holiday High Score Competition,repeated branded name,923,50
u.niteeclub,UNITEE CLUB | NJ EVENTS & COMMUNITY,MILES & MINGLE RUN/WALK SERIES; MILES & MINGLE; Pack & Connect: Hygiene Kit Drive & Distribution; Miles & Mingle walk/run event series; Upcoming Events,"recurrence keyword, repeated branded name",917,19
okofine_cuisine,Cliff Mills,R&B Sing Along; Oko After Dark; The Homecoming Party; The Tenderism; Fight Night,repeated branded name,888,28
lifeafterrestaurant,LIFE AFTER RESTAURANT,R&B BINGO (MONTHLY SERIES); SUNDAYS AT LIFE AFTER; LIVE MUSIC FRIDAYS; ROC DA MIC SUNDAYS; LIVE BAND NIGHTS,"day-of-week plural, recurrence keyword, repeated branded name",886,38
jay.miles1,JayMiles,Sagittarius Season and Jersey Alphas Founders Day Celebration; 3rd Annual Holiday Hoops Charity Tournament; Holiday Hoops Charity Tournament Registration Deadline; ALL BLACK experience; Ontario Cutting & Caring,"recurrence keyword, repeated branded name",885,23
crabbaekenilworth,"303S Michigan Ave, Kenilworth, NJ","TACO TUESDAY; WALK-IN WEDNESDAYS; Turkey Sale; Last-Minute Turkey Orders; 3 Tacos, Wings & Hookah Combo","day-of-week plural, repeated branded name",872,70
onewillow_nj,One Willow,Holiday Catering; Happy Hour; Raw Bar Night; Tides & Vines Night; Holiday Market,repeated branded name,870,10
