event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Screenings,2025-07-16,,,,,Get ready for exciting panels and screenings from 3R Studios!,Screening,Screenings as part of upcoming events by 3R Studios.,,,0.7,3r.studios,https://www.instagram.com/p/DMLfvxBOTJT/,https://instagram.fwbw1-1.fna.fbcdn.net/v/t51.71878-15/520239625_1808527759729706_4119668207142525033_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fwbw1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFNU40nM_lPmomz-_7gzrYhl29swqHE3bPua_G5v4DIp9JkObh3SW5AOO_HFXbUnvM&_nc_ohc=2NeqlMYAPNAQ7kNvwEbeU6u&_nc_gid=pkj__jQkPLg_vci4sQ4mEA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzaVh2TAkuBf2AdzHWzCCdfDru6c50XoUdrx-bJ0DLgdQ&oe=69B8E1E2&_nc_sid=10d13b,https://www.instagram.com/p/DMLfvxBOTJT/,https://www.instagram.com/3r.studios/,3R,3678173142569267795,True,False
Original Series,2025-07-16,,,,,Get ready for exciting panels and screenings from 3R Studios!,Series Premiere,"Original series by 3R Studios, described as 'Lil independent Netflix vibes'.",,,0.8,3r.studios,https://www.instagram.com/p/DMLfvxBOTJT/,https://instagram.fwbw1-1.fna.fbcdn.net/v/t51.71878-15/520239625_1808527759729706_4119668207142525033_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fwbw1-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFNU40nM_lPmomz-_7gzrYhl29swqHE3bPua_G5v4DIp9JkObh3SW5AOO_HFXbUnvM&_nc_ohc=2NeqlMYAPNAQ7kNvwEbeU6u&_nc_gid=pkj__jQkPLg_vci4sQ4mEA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfzaVh2TAkuBf2AdzHWzCCdfDru6c50XoUdrx-bJ0DLgdQ&oe=69B8E1E2&_nc_sid=10d13b,https://www.instagram.com/p/DMLfvxBOTJT/,https://www.instagram.com/3r.studios/,3R,3678173142569267795,True,False
Seasonal Gardener/Landscaper Hiring,2026-03-07,,Branch Brook Park,Newark,North,Get your hands dirty this spring with a seasonal gardening gig at Branch Brook Park!,Hiring,"Branch Brook Park Alliance is hiring seasonal gardeners/landscapers for the 2026 season, from March to October. Apply today via www.branchbrookpark.org/jobs or email summer@branchbrookpark.org.",,,1.0,branchbrookpark,https://www.instagram.com/p/DVmHcAngFGq/,https://scontent-lga3-2.cdninstagram.com/v/t39.30808-6/645411969_1329078299265295_3966268442952642454_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFGcelx7MzktGyxIK7VMPzWc_ZNOdM0MSkF_QbbCTCO1586xQqJq7jg5TDKd0xMzM8&_nc_ohc=n8BC4vfNwZcQ7kNvwGFNZjC&_nc_gid=E4XsIV6jq2-elW-H7GSCig&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afzhb3UkC1yiWpQqEFRxRolYRO1CqVnGkX_iK4_7ZpSM6Q&oe=69B8D888&_nc_sid=10d13b,https://www.instagram.com/p/DVmHcAngFGq/,https://www.instagram.com/branchbrookpark/,Branch Brook Park Alliance,3847795642768314794,True,False
BIG FISH PISCES BASH ‘ 26,2026-03-14,9:00 PM,The Vault,Newark,North,Dive into the ultimate Pisces celebration this Saturday at The Vault!,Party,BIG FISH PISCES BASH ‘ 26 celebrating Pisces. Kenz x Staa performing.,KENZ X STAA,Tickets available at entry,High,chop.life.crew,https://www.instagram.com/p/DVrtrA9mJiZ/,https://scontent-atl3-2.cdninstagram.com/v/t51.82787-15/649250462_18507726994074493_2393220661767018644_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFFXomgipi6mheXhBoX_aYGZluFuHH50VIVnPT8mDk5YYfkJF258p1Bf-IUZfK6eqk&_nc_ohc=onsX8gybdrsQ7kNvwGWjobv&_nc_gid=I4vZtp_nXCSkSGafgYDRag&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfxACOgBrClSjm3sMFSAHQX94zNJldiflc_5jcraIdEN0w&oe=69B8EF03&_nc_sid=10d13b,https://www.instagram.com/p/DVrtrA9mJiZ/,https://www.instagram.com/chop.life.crew/,CLC Marketing Group LLC 🌍,3849371174582130841,True,False
Taco + Tequila Tuesdays,2026-03-10,4:00 PM,Bacchanal Junction,Bloomfield,North,Spice up your Tuesday with tacos and tequila specials!,Food & Drink Special,Complimentary house margaritas with bar's taco purchase. Margarita pitchers for $40.,,,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Wings + Whine Wednesday,2026-03-11,4:00 PM,Bacchanal Junction,Bloomfield,North,Enjoy all-day happy hour and delicious wings this Wednesday!,Happy Hour,ALL DAY HAPPY HOUR.,,,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Ladies Night,2026-03-12,7:00 PM,Bacchanal Junction,Bloomfield,North,"Ladies, enjoy complimentary lemon drops this Thursday!",Ladies Night,Complimentary lemon drop with purchase of an appetizer or entree.,,,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Fine Whine Friday,2026-03-13,8:00 PM,Bacchanal Junction,Bloomfield,North,Get ready for Fine Whine Friday with DJ Morpheus!,Music,"Sounds by DJ Morpheus. ""We are aging like fine wine! Come oil your palette and waist!""",DJ Morpheus,,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Caribbean Saturday!,2026-03-14,8:00 PM,Bacchanal Junction,Bloomfield,North,Experience island elegance with live steel pan and DJs!,Live Music,Live Steel Pan by Earl Brooks Jr. and two DJs @morpheusent @renegade_redd. Island elegance + energy. Celebrations with Midnight Toast. Dress code enforced.,"Earl Brooks Jr., DJ Morpheus, Renegade Redd",,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Bacchanal Bubbly Brunch,2026-03-15,2:00 PM,Bacchanal Junction,Bloomfield,North,Celebrate with our Bubbly Brunch featuring 90 minutes of mimosas!,Brunch,2 Year Anniversary Celebration. Debuting 90 Minutes of Mimosas | $35 (available 2PM- 5PM). DJ at 4PM. Dress luxe. Arrive early. Celebrate all weekend.,DJ,$35,0.9,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Weekend Premium Bottle Discount,2026-03-13,,Bacchanal Junction,Bloomfield,North,Enjoy up to 25% off premium bottles all weekend long!,Promotion,"Up to 25% OFF Premium Bottles. Available Friday, Saturday, and Sunday.",,,0.8,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Weekend Signature Hookah Special,2026-03-13,,Bacchanal Junction,Bloomfield,North,Sip on $35 signature hookahs this weekend!,Promotion,"$35 Signature h00 kahs. Available Friday, Saturday, and Sunday.",,$35,0.8,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
Weekend Rum Punch Special,2026-03-13,,Bacchanal Junction,Bloomfield,North,Cool down with $10 rum punch all weekend!,Promotion,"$10 Rum Punch. Available Friday, Saturday, and Sunday.",,$10,0.8,bacchanalnj,https://www.instagram.com/p/DVtGooeuLd2/,https://scontent-mia3-1.cdninstagram.com/v/t51.71878-15/649225219_1462710982168739_8182253930054679637_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGvYBz9yZy3kKEDGayOWQDcC-N1iBXSFeicH5WBtK-MsLZLGyUraStVQBSy0dsiQ4U&_nc_ohc=FoYk5kb7zksQ7kNvwFQL4U5&_nc_gid=HPwbQuIj-aQpCUvdC2eC5g&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfwG2IqN87VbzpiAkczDHrbsfjhnSP2WM0je7aiLK-FjhA&oe=69B904EB&_nc_sid=10d13b,https://www.instagram.com/p/DVtGooeuLd2/,https://www.instagram.com/bacchanalnj/,Bacchanal Junction,3849762436994873206,True,True
