event_name,date,start_time,venue_name,city,section_of_nj,newsletter_description,event_type,description,performer,price,confidence,instagram_handle,instagram_post_url,display_url,post_url,instagram_profile_url,account_name,post_id,had_ocr,from_calendar
Friday Night Party,2026-02-27,,Big Shots Restaurant & Lounge,Iselin,Central,"Get ready for a Friday night party with DJ Q$1 spinning 90's, 2000's, and today's hits at Big Shots!",Party,"Friday Night Party with music by DJ Q$1 playing 90's, 2000's, and today's hits. Bottle service available, kitchen open late. 21+ to enter. Free parking. No cover before 10PM.",DJ Q$1,No cover before 10PM,0.9,bigshotswoodbridge,https://www.instagram.com/p/DVIEYkgjYuP/,https://instagram.flas1-2.fna.fbcdn.net/v/t51.82787-15/641646465_18575108875040023_7415657866478546460_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=instagram.flas1-2.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGXdinCLliYjFl3_npfapbp3aU71PBiew2E-EdbBCtYVOBEI65kx8sz9_5rqrhUa32Wc-NmkOcoHl324mBceLA8&_nc_ohc=lqxlxjztAT4Q7kNvwHYUKyG&_nc_gid=CsggpHDBJCJBXuallX_PdQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfuFMbLpj_rcMsWICC-jXHMRDNJtig54hXxD8ySa6UvwxA&oe=69A58EF9&_nc_sid=10d13b,https://www.instagram.com/p/DVIEYkgjYuP/,https://www.instagram.com/bigshotswoodbridge/,Big Shots Restaurant & Lounge,3839337962987686799,True,False
Hoboken's Most Popular St Patrick's Day Party,2026-03-21,,BIRCH HOBOKEN,Hoboken,North,Don't miss Hoboken's biggest St. Patrick's Day bash at Birch Hoboken!,Party,Hoboken's Most Popular St Patrick’s Day Party. 1 wristband = access to 6 venues.,,,0.9,birchhoboken,https://www.instagram.com/p/DVHXSFcjoap/,https://scontent-sjc6-1.cdninstagram.com/v/t51.71878-15/641650203_895711530011701_6354370842854275815_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQVhnUvV2FhvzQ8m1H4soJybwZ8OSsOVNVgxyshgYShFMo1hWS0yOpOvS6qSMan3c&_nc_ohc=ghsc-0O_E2oQ7kNvwHUEnrM&_nc_gid=IJUwAPYaaGxjBRLt78Sxlw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftC33_6uDttE4edAw1KBHuYGVBIHPo2t8w4g_vmK5zE4Q&oe=69A57E8D&_nc_sid=10d13b,https://www.instagram.com/p/DVHXSFcjoap/,https://www.instagram.com/birchhoboken/,BIRCH HOBOKEN,3839139605224785577,False,False
Hike Volcano Acatenango,2026-02-25,,Volcano Fuego,,,Conquer Volcano Fuego!,Outdoor Activity,Hiked Acatenango volcano with @oxexpeditions. This was the first part of the hike to the Acatenango base camp which was moderate.,,,0.9,discoverwithalexis,https://www.instagram.com/p/DVMmWNRErnZ/,https://scontent-sjc3-1.cdninstagram.com/v/t51.71878-15/640967555_1988217858399054_4055719233626627802_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHYB1KBnMxY4PuMDD8yl7eSOrelc0vnmqPX2hQgWE0EAPkP6LgSCZZCSJulbL0vnMA&_nc_ohc=hzV5pmHGgMMQ7kNvwEwjugu&_nc_gid=WHy2MM1ntzvxeNnnxZQMSg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfsJIelUzYv2xHnLPblWMGvz_ZpFG_WZIZ6nBguQ0YLfGQ&oe=69A581FE&_nc_sid=10d13b,https://www.instagram.com/p/DVMmWNRErnZ/,https://www.instagram.com/discoverwithalexis/,Alexis Oyediran | joy & gen z travel✨,3840613234081184217,True,False
Hike Volcano Fuego,2026-02-25,,Volcano Fuego,,,Conquer Volcano Fuego!,Outdoor Activity,Hiked Volcano Fuego with @oxexpeditions. This was the hardest thing I've ever done in my life. Highly recommend booking this excursion with the Ox team! Grateful for the Ox Expeditions guides for getting us there safely and for cheering us on.,,,0.9,discoverwithalexis,https://www.instagram.com/p/DVMmWNRErnZ/,https://scontent-sjc3-1.cdninstagram.com/v/t51.71878-15/640967555_1988217858399054_4055719233626627802_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHYB1KBnMxY4PuMDD8yl7eSOrelc0vnmqPX2hQgWE0EAPkP6LgSCZZCSJulbL0vnMA&_nc_ohc=hzV5pmHGgMMQ7kNvwEwjugu&_nc_gid=WHy2MM1ntzvxeNnnxZQMSg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfsJIelUzYv2xHnLPblWMGvz_ZpFG_WZIZ6nBguQ0YLfGQ&oe=69A581FE&_nc_sid=10d13b,https://www.instagram.com/p/DVMmWNRErnZ/,https://www.instagram.com/discoverwithalexis/,Alexis Oyediran | joy & gen z travel✨,3840613234081184217,True,False
AFRO-CARIBBEAN NIGHT: DJ RUDE BOI BDAY BASH,2026-02-27,10:00 PM,The Royce AC,Atlantic City,South,Get ready for an explosive Afro-Caribbean Night celebrating DJ Rude Boi's birthday!,Birthday Party,"Afro-Caribbean Night featuring DJ Rude Boi's Birthday Bash with music genres including Afrobeats, Dancehall, Soca, Kompa, and Amapiano. Doors open at 10 PM. Dress code enforced. 21+.","DJ Rude Boi, DJ Jay, DJ Eddie Frass, DJ Squity",Tickets/Guestlist Available,0.9,afrocaribbean.ac,https://www.instagram.com/p/DVG4n2kANS5/,https://scontent-lga3-3.cdninstagram.com/v/t51.71878-15/642566246_919741153750326_6246756056704677154_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QHCJ_8pjvpoiiqqaZ994BXddIom3YwTY5YqrdDwAe7rVsv3KYsLD05Yce-G616Kg-Y&_nc_ohc=g6su8TcdvasQ7kNvwGTcWHF&_nc_gid=6n8j64HYKchDN3UE-fx_5Q&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfsdPnJHvwveAf0hRhfyw2XV2NIeKLp__PV13YYoquCrng&oe=69A5909A&_nc_sid=10d13b,https://www.instagram.com/p/DVG4n2kANS5/,https://www.instagram.com/afrocaribbean.ac/,,3839004761630233785,True,False
Bottomless Brunch Cocktails,2026-02-26,,Concourse Club,,,Indulge in 90 minutes of bottomless brunch cocktails this Sunday!,Brunch,Indulge in 90 minutes of bottomless brunch cocktails for $28 this Sunday at the Concourse Club. Available with purchase of a menu item/full table must participate.,,$28,0.9,concourseclub,https://www.instagram.com/p/DVJP3A5lJnD/,https://scontent-dfw6-1.cdninstagram.com/v/t51.82787-15/638867784_18081986288214565_8430235226824324886_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-dfw6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGzwi0zFaYSee5vUgdMqpkiTVLcYifRURiXF1P72xc1Nd5mw5vfra3TZZFyLg823lRk1XJhFpw5yTpwp82ngf5O&_nc_ohc=MnfkeqePNW0Q7kNvwGzLuMs&_nc_gid=ALJWoXU-1aHPZtwdtvq7vA&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftvPSB4Z31spQCLYTxf8wv-kqO6_xro1His8NFUmf_GQQ&oe=69A583FA&_nc_sid=10d13b,https://www.instagram.com/p/DVJP3A5lJnD/,https://www.instagram.com/concourseclub/,Concourse Club,3839669908544985539,False,False
Oxtail Sale,2026-02-21,,Crabbae Maplewood,Maplewood,Central,Get ready for a massive oxtail sale at Crabbae Maplewood!,Sale,"15-LB CASE — $109. Trimmed (some fat remains). Cash only. First come, first served.",,$109,0.9,crabbaemaplewood,https://www.instagram.com/p/DVCOroAkS-h/,https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/641092953_1438797664451271_1408772432252762430_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QH_p-it_wGfa297vMDgjQQZpzB-_AbWGiXzdQGUtzsdge9zClAfABUueVwiYJtJ3kI&_nc_ohc=rj-aHIxyQbsQ7kNvwH_i6jT&_nc_gid=seO0xW_Racrk-9kw7UzX7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afs_olrh4LkXo48m3XUh4JsXuIfVULFGZ_yLTKoIppCgYQ&oe=69A57782&_nc_sid=10d13b,https://www.instagram.com/p/DVCOroAkS-h/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3837694403020926881,True,False
Oxtail Sale,2026-02-21,,Crabbae Maplewood,Maplewood,Central,Stock up on quality oxtail with this amazing deal!,Sale,"15 lbs for $109. Trimmed, quality cuts. Cash only. Stock your freezer while it lasts.",,$109,0.9,crabbaemaplewood,https://www.instagram.com/p/DVCOroAkS-h/,https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/641092953_1438797664451271_1408772432252762430_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QH_p-it_wGfa297vMDgjQQZpzB-_AbWGiXzdQGUtzsdge9zClAfABUueVwiYJtJ3kI&_nc_ohc=rj-aHIxyQbsQ7kNvwH_i6jT&_nc_gid=seO0xW_Racrk-9kw7UzX7w&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afs_olrh4LkXo48m3XUh4JsXuIfVULFGZ_yLTKoIppCgYQ&oe=69A57782&_nc_sid=10d13b,https://www.instagram.com/p/DVCOroAkS-h/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3837694403020926881,True,False
2016 Throwback Theme Night,2026-02-28,10:00 PM,BIRCH HOBOKEN,Hoboken,North,Step back in time for a 2016 throwback night with awesome music and drink specials!,Theme Night,"One Night, One Dance. 2016 Throwback Theme Night @birchhoboken with @2face.mp3 and @djtmo_music. All Night Drink Specials: $4 Red Solo Draft Beers, $5 Green Tea Shots, $6 Birch Jungle Juice, $7 Casamigos Shots. Who’s ready for a Haus Party?","@2face.mp3, @djtmo_music","$4 Red Solo Draft Beers, $5 Green Tea Shots, $6 Birch Jungle Juice, $7 Casamigos Shots",0.9,birchhoboken,https://www.instagram.com/p/DVKcgoujkDv/,https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/636929481_18391955659146814_1182287721032990461_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEsnYHjkjduwT9OTVqoYucauOLgHGpWM2KDCmZQYPBtdBfMVBaKdY8JWh9zVLTL6DwSW3LhcAte1ti5kEZSqBd3&_nc_ohc=L-pUCNFYYSoQ7kNvwEilAcp&_nc_gid=8exV4NWUI_QtnZ3pQTCy0w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftLhUmIiwqlSmpul-k6iUFqhdj7GZuBIrBn011-c4mCqQ&oe=69A59125&_nc_sid=10d13b,https://www.instagram.com/p/DVKcgoujkDv/,https://www.instagram.com/birchhoboken/,BIRCH HOBOKEN,3840007020343083247,True,False
Haus Party,2026-02-28,10:00 PM,BIRCH HOBOKEN,Hoboken,North,Get ready for a wild Haus Party this Saturday at Birch Hoboken!,Party,"One Night, One Dance. 2016 Throwback Theme Night @birchhoboken with @2face.mp3 and @djtmo_music. All Night Drink Specials: $4 Red Solo Draft Beers, $5 Green Tea Shots, $6 Birch Jungle Juice, $7 Casamigos Shots. Who’s ready for a Haus Party?","@2face.mp3, @djtmo_music","$4 Red Solo Draft Beers, $5 Green Tea Shots, $6 Birch Jungle Juice, $7 Casamigos Shots",0.9,birchhoboken,https://www.instagram.com/p/DVKcgoujkDv/,https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/636929481_18391955659146814_1182287721032990461_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEsnYHjkjduwT9OTVqoYucauOLgHGpWM2KDCmZQYPBtdBfMVBaKdY8JWh9zVLTL6DwSW3LhcAte1ti5kEZSqBd3&_nc_ohc=L-pUCNFYYSoQ7kNvwEilAcp&_nc_gid=8exV4NWUI_QtnZ3pQTCy0w&edm=APs17CUBAAAA&ccb=7-5&oh=00_AftLhUmIiwqlSmpul-k6iUFqhdj7GZuBIrBn011-c4mCqQ&oe=69A59125&_nc_sid=10d13b,https://www.instagram.com/p/DVKcgoujkDv/,https://www.instagram.com/birchhoboken/,BIRCH HOBOKEN,3840007020343083247,True,False
Oxtail Comfort Special,2026-02-22,,Crabbae,Maplewood,North,"Warm up with a hearty, slow-braised oxtail special today!",Food Special,"Hot, slow-braised oxtails served with two sides and free rice. Big enough to split. Dine-in & takeout available.",,,0.9,crabbaemaplewood,https://www.instagram.com/p/DVEaTpdkcKI/,https://scontent-atl3-3.cdninstagram.com/v/t51.71878-15/641210916_2099854740790798_993355241930057683_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEJ8wSjLb_6mq8BFw2glFzK_0UvoAv5jpSt3Z83yLv9ZhOm68bKb_BhgwrngxUGeFs&_nc_ohc=4jlZ-jP3WdkQ7kNvwFSSh3r&_nc_gid=lsc8VWXz1UOW-mu2-rkcqQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfsT67c-BOmJvkicg5PEZHvjnswo9kEiLz-xFepQYbeAPA&oe=69A58D09&_nc_sid=10d13b,https://www.instagram.com/p/DVEaTpdkcKI/,https://www.instagram.com/crabbaemaplewood/,165 Franklin terrace Maplewood nj,3838308481825358472,False,False
AFRO-CARIBBEAN NIGHT DJ RUDE BOI BDAY BASH,2026-02-27,10:00 PM,The Royce AC,Atlantic City,South,"Celebrate DJ Rude Boi's birthday with an epic Afro-Caribbean night filled with Afrobeats, Dancehall, Soca, Kompa, and Amapiano!",Birthday Party,"Afro-Caribbean Night featuring DJ Rude Boi's Bday Bash. Music genres include Afrobeats, Dancehall, Soca, Kompa, and Amapiano. Doors open at 10PM. Guestlist/Tickets available. VIP sections available for reservation. Dress code enforced, 21+.","DJ Rude Boi, DJ Jay, DJ Eddie Frass, DJ Squity",Guestlist/Tickets Available,0.9,afrocaribbean.ac,https://www.instagram.com/p/DVG6RQ2ACOJ/,https://scontent-atl3-1.cdninstagram.com/v/t51.71878-15/641190827_917478800978670_5680554424908927980_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFyqQS-JubvDV7DxQFUi4jrDqFB-CHZfuw4o8jJQL60UOM4Eq5Q8WPND6LZ8FNKZ3I&_nc_ohc=BPZrKHM_X-cQ7kNvwEyjEdw&_nc_gid=rEC3x8jSbOLkHVXq-XiCgQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfvINdRE25w5016xtVr1vaYwehGlANDAdyvwG7svQtC9RQ&oe=69A57337&_nc_sid=10d13b,https://www.instagram.com/p/DVG6RQ2ACOJ/,https://www.instagram.com/afrocaribbean.ac/,,3839012005394523017,True,False
